ID,gene_symbol,Gene title,string_protein_id,uniprot_id,source
1007_s_at,DDR1,microRNA 4640///discoidin domain receptor tyrosine kinase 1,9606.ENSP00000427552,,
1053_at,RFC2,replication factor C subunit 2,9606.ENSP00000055077,,
117_at,HSPA6,heat shock protein family A (Hsp70) member 6,9606.ENSP00000310219,,
121_at,PAX8,paired box 8,9606.ENSP00000263334,,
1255_g_at,GUCA1A,guanylate cyclase activator 1A,9606.ENSP00000053469,,
1255_g_at,GUCA1A,guanylate cyclase activator 1A,9606.ENSP00000362049,,
1255_g_at,GUCA1A,guanylate cyclase activator 1A,9606.ENSP00000362054,,
1294_at,UBA7,microRNA 5193///ubiquitin like modifier activating enzyme 7,9606.ENSP00000333266,,
1316_at,THRA,"thyroid hormone receptor, alpha",9606.ENSP00000264637,,
1320_at,PTPN21,"protein tyrosine phosphatase, non-receptor type 21",9606.ENSP00000452414,,
1405_i_at,CCL5,C-C motif chemokine ligand 5,9606.ENSP00000474412,,
1431_at,CYP2E1,cytochrome P450 family 2 subfamily E member 1,9606.ENSP00000440689,,
1438_at,EPHB3,EPH receptor B3,9606.ENSP00000332118,,
1487_at,ESRRA,estrogen related receptor alpha,9606.ENSP00000384851,,
1494_f_at,CYP2A6,cytochrome P450 family 2 subfamily A member 6,9606.ENSP00000301141,,
1552256_a_at,SCARB1,scavenger receptor class B member 1,9606.ENSP00000261693,,
1552257_a_at,TTLL12,tubulin tyrosine ligase like 12,9606.ENSP00000216129,,
1552258_at,LINC00152,uncharacterized LOC101930489///long intergenic non-protein coding RNA 152,,,
1552261_at,WFDC2,WAP four-disulfide core domain 2,9606.ENSP00000361761,,
1552263_at,MAPK1,mitogen-activated protein kinase 1,9606.ENSP00000215832,,
1552264_a_at,MAPK1,mitogen-activated protein kinase 1,9606.ENSP00000215832,,
1552266_at,ADAM32,ADAM metallopeptidase domain 32,9606.ENSP00000369238,,
1552269_at,SPATA17,spermatogenesis associated 17,9606.ENSP00000355900,,
1552271_at,PRR22,proline rich 22,9606.ENSP00000407653,,
1552272_a_at,PRR22,proline rich 22,9606.ENSP00000407653,,
1552274_at,PXK,PX domain containing serine/threonine kinase like,9606.ENSP00000348472,,
1552275_s_at,PXK,PX domain containing serine/threonine kinase like,9606.ENSP00000348472,,
1552276_a_at,VPS18,"VPS18, CORVET/HOPS core subunit",9606.ENSP00000220509,,
1552277_a_at,MSANTD3,Myb/SANT DNA binding domain containing 3,9606.ENSP00000480445,,
1552278_a_at,SLC46A1,solute carrier family 46 member 1,9606.ENSP00000480703,,
1552279_a_at,SLC46A1,solute carrier family 46 member 1,9606.ENSP00000480703,,
1552280_at,TIMD4,T-cell immunoglobulin and mucin domain containing 4,9606.ENSP00000274532,,
1552281_at,SLC39A5,solute carrier family 39 member 5,9606.ENSP00000266980,,
1552283_s_at,ZDHHC11,zinc finger DHHC-type containing 11B///zinc finger DHHC-type containing 11,9606.ENSP00000283441,,
1552286_at,ATP6V1E2,ATPase H+ transporting V1 subunit E2,9606.ENSP00000304891,,
1552287_s_at,AFG3L1P,"AFG3 like matrix AAA peptidase subunit 1, pseudogene",,,
1552288_at,CILP2,cartilage intermediate layer protein 2,9606.ENSP00000291495,,
1552289_a_at,CILP2,cartilage intermediate layer protein 2,9606.ENSP00000291495,,
1552291_at,PIGX,phosphatidylinositol glycan anchor biosynthesis class X,9606.ENSP00000296333,,
1552291_at,PIGX,phosphatidylinositol glycan anchor biosynthesis class X,9606.ENSP00000415070,,
1552293_at,TMEM196,transmembrane protein 196,9606.ENSP00000385087,,
1552295_a_at,SLC39A13,solute carrier family 39 member 13,9606.ENSP00000354689,,
1552296_at,BEST4,bestrophin 4,9606.ENSP00000361281,,
1552299_at,AK9,adenylate kinase 9,9606.ENSP00000410186,,
1552301_a_at,CORO6,coronin 6,9606.ENSP00000344562,,
1552302_at,TMEM106A,transmembrane protein 106A,9606.ENSP00000483246,,
1552302_at,TMEM106A,transmembrane protein 106A,9606.ENSP00000490609,,
1552303_a_at,TMEM106A,transmembrane protein 106A,9606.ENSP00000483246,,
1552303_a_at,TMEM106A,transmembrane protein 106A,9606.ENSP00000490609,,
1552304_at,ALG10,"ALG10, alpha-1,2-glucosyltransferase",9606.ENSP00000266483,,
1552304_at,ALG10,"ALG10, alpha-1,2-glucosyltransferase",9606.ENSP00000310120,,
1552306_at,ALG10,"ALG10, alpha-1,2-glucosyltransferase",9606.ENSP00000266483,,
1552306_at,ALG10,"ALG10, alpha-1,2-glucosyltransferase",9606.ENSP00000310120,,
1552307_a_at,TTC39C,tetratricopeptide repeat domain 39C,9606.ENSP00000323645,,
1552309_a_at,NEXN,nexilin F-actin binding protein,9606.ENSP00000333938,,
1552310_at,C15orf40,chromosome 15 open reading frame 40,9606.ENSP00000403987,,
1552311_a_at,RAX2,retina and anterior neural fold homeobox 2,9606.ENSP00000450456,,
1552312_a_at,MFAP3,microfibrillar associated protein 3,9606.ENSP00000322956,,
1552314_a_at,EYA3,EYA transcriptional coactivator and phosphatase 3,9606.ENSP00000362978,,
1552315_at,GIMAP1,"GTPase, IMAP family member 1",9606.ENSP00000302833,,
1552316_a_at,GIMAP1,"GTPase, IMAP family member 1",9606.ENSP00000302833,,
1552318_at,GIMAP1,"GTPase, IMAP family member 1",9606.ENSP00000302833,,
1552319_a_at,KLK8,kallikrein related peptidase 8,9606.ENSP00000375682,,
1552320_a_at,CCDC65,coiled-coil domain containing 65,9606.ENSP00000312706,,
1552321_a_at,CCDC65,coiled-coil domain containing 65,9606.ENSP00000312706,,
1552322_at,FAM122C,family with sequence similarity 122C,9606.ENSP00000359820,,
1552323_s_at,FAM122C,family with sequence similarity 122C,9606.ENSP00000359820,,
1552325_at,CFAP53,cilia and flagella associated protein 53,9606.ENSP00000381553,,
1552326_a_at,CFAP53,cilia and flagella associated protein 53,9606.ENSP00000381553,,
1552327_at,ARMCX4,"armadillo repeat containing, X-linked 4",9606.ENSP00000404304,,
1552329_at,RBBP6,"RB binding protein 6, ubiquitin ligase",9606.ENSP00000317872,,
1552330_at,CENPBD1,CENPB DNA-binding domain containing 1,9606.ENSP00000393854,,
1552332_at,TRIOBP,TRIO and F-actin binding protein,9606.ENSP00000496394,,
1552334_at,TRIOBP,TRIO and F-actin binding protein,9606.ENSP00000496394,,
1552335_at,CATSPER1,cation channel sperm associated 1,9606.ENSP00000309052,,
1552337_s_at,HOXD4,homeobox D4,9606.ENSP00000302548,,
1552338_at,GSC,goosecoid homeobox,9606.ENSP00000238558,,
1552340_at,SP7,Sp7 transcription factor,9606.ENSP00000443827,,
1552343_s_at,PDE7A,phosphodiesterase 7A,9606.ENSP00000385632,,
1552344_s_at,CNOT7,CCR4-NOT transcription complex subunit 7,9606.ENSP00000355279,,
1552347_at,CRYZL1,crystallin zeta like 1,9606.ENSP00000370966,,
1552348_at,PRSS33,"protease, serine 33",9606.ENSP00000293851,,
1552349_a_at,PRSS33,"protease, serine 33",9606.ENSP00000293851,,
1552354_at,CBARP,CACN beta subunit associated regulatory protein,9606.ENSP00000465260,,
1552355_s_at,CBARP,CACN beta subunit associated regulatory protein,9606.ENSP00000465260,,
1552359_at,MCMDC2,minichromosome maintenance domain containing 2,9606.ENSP00000413632,,
1552360_a_at,TIRAP,TIR domain containing adaptor protein,9606.ENSP00000376445,,
1552362_a_at,LEAP2,liver enriched antimicrobial peptide 2,9606.ENSP00000296877,,
1552364_s_at,MSI2,musashi RNA binding protein 2,9606.ENSP00000284073,,
1552365_at,SCIN,scinderin,9606.ENSP00000297029,,
1552367_a_at,SCIN,scinderin,9606.ENSP00000297029,,
1552368_at,CTCFL,CCCTC-binding factor like,9606.ENSP00000415579,,
1552368_at,CTCFL,CCCTC-binding factor like,9606.ENSP00000494538,,
1552370_at,C4orf33,chromosome 4 open reading frame 33,9606.ENSP00000281146,,
1552372_at,C4orf33,chromosome 4 open reading frame 33,9606.ENSP00000281146,,
1552373_s_at,C4orf33,chromosome 4 open reading frame 33,9606.ENSP00000281146,,
1552375_at,ZNF333,zinc finger protein 333,9606.ENSP00000292530,,
1552377_s_at,TVP23C,trans-golgi network vesicle protein 23 homolog C (S. cerevisiae),9606.ENSP00000225576,,
1552377_s_at,TVP23C,trans-golgi network vesicle protein 23 homolog C (S. cerevisiae),9606.ENSP00000305654,,
1552377_s_at,TVP23C,trans-golgi network vesicle protein 23 homolog C (S. cerevisiae),9606.ENSP00000429865,,
1552378_s_at,RDH10,retinol dehydrogenase 10 (all-trans),9606.ENSP00000240285,,
1552379_at,RDH10,retinol dehydrogenase 10 (all-trans),9606.ENSP00000240285,,
1552381_at,SRSF12,serine and arginine rich splicing factor 12,9606.ENSP00000414302,,
1552383_at,FAM71A,family with sequence similarity 71 member A,9606.ENSP00000294829,,
1552384_a_at,FAM71A,family with sequence similarity 71 member A,9606.ENSP00000294829,,
1552386_at,GAPT,"GRB2-binding adaptor protein, transmembrane",9606.ENSP00000379997,,
1552388_at,SCUBE1,"uncharacterized protein FLJ30901///signal peptide, CUB domain and EGF like domain containing 1",9606.ENSP00000354080,,
1552389_at,ERICH5,glutamate rich 5,9606.ENSP00000315614,,
1552390_a_at,ERICH5,glutamate rich 5,9606.ENSP00000315614,,
1552391_at,CCDC185,coiled-coil domain containing 185,9606.ENSP00000355840,,
1552393_at,ENTHD1,ENTH domain containing 1,9606.ENSP00000317431,,
1552394_a_at,ENTHD1,ENTH domain containing 1,9606.ENSP00000317431,,
1552395_at,TSSK3,testis specific serine kinase 3,9606.ENSP00000362634,,
1552396_at,WFDC6,WAP four-disulfide core domain 6,9606.ENSP00000361755,,
1552398_a_at,CLEC12A,C-type lectin domain family 12 member A,9606.ENSP00000347916,,
1552399_a_at,BRF1,"BRF1, RNA polymerase III transcription initiation factor 90 kDa subunit",9606.ENSP00000337386,,
1552399_a_at,BRF1,"BRF1, RNA polymerase III transcription initiation factor 90 kDa subunit",9606.ENSP00000448387,,
1552400_a_at,TMEM266,transmembrane protein 266,9606.ENSP00000373594,,
1552401_a_at,BACH1,GRIK1 antisense RNA 2///BTB domain and CNC homolog 1,9606.ENSP00000259008,,
