ID_REF,GSM706391,GSM706392,GSM706393,GSM706394,GSM706395,GSM706396,GSM706397,GSM706398,GSM706399,GSM706400,GSM706401,GSM706402,GSM706403,GSM706404,GSM706405,GSM706406,GSM706407,GSM706408,GSM706409,GSM706410,GSM706411
ILMN_1343291,15.28813121,15.35035947,15.33742416,14.99038699,15.36686078,15.35035947,15.30672482,15.26922544,15.1339922,15.26922544,15.35035947,15.33742416,15.40453096,15.40453096,15.40453096,15.16449105,15.25883505,15.35035947,15.40453096,15.28039089,15.40453096
ILMN_1651228,13.98479372,13.72848911,14.01457828,14.19133179,14.12507727,13.70242427,13.8583155,13.73745333,13.64514961,13.82760069,13.98812811,14.09390628,13.81002437,13.7551064,13.90337915,13.90915057,13.56319176,13.59795367,14.03994502,13.98812811,13.86754008
ILMN_1651229,10.71842373,11.23443006,10.56631686,11.09515606,10.63144835,10.83021965,10.42536496,10.64035969,10.63552913,11.19944992,10.76675903,10.68352166,10.57999314,10.43876683,10.66423223,11.05017986,10.99517332,10.57281385,11.39040206,11.19790771,10.60934868
ILMN_1651254,12.15547874,11.21944484,11.02106328,12.14356801,11.5902512,10.77005803,11.31709193,10.97781543,11.06606439,11.29384531,11.3120867,11.16066493,11.11615238,11.18106841,11.44825101,11.68949204,11.30099583,11.04766856,11.76488181,12.34026989,11.58524173
ILMN_1651262,12.10530186,12.54911071,12.57119565,12.36978057,12.57952772,12.61181076,12.59449776,12.63676228,12.92434508,12.55398152,12.94795238,12.63382219,12.70517196,12.71087232,12.72769702,12.52492452,12.57021285,12.80775953,12.44427004,12.18250056,12.86291816
ILMN_1651278,9.582400743,9.688175516,9.544778655,9.13551429,9.565379473,9.420859237,9.168415514,9.351189631,9.442510343,9.186861561,9.217937453,9.447285694,9.334198335,9.292732399,9.504703243,9.24730216,9.711175415,9.478329519,9.358478212,9.588040186,9.243127346
ILMN_1651282,9.091601464,8.968074202,9.042609629,9.112710154,9.038173985,8.912836569,8.752891628,8.788699898,8.868374783,9.042005909,8.906648059,9.066512748,8.842133743,8.845907538,8.782358132,8.801127076,9.122847054,8.740485278,8.871248269,9.170904881,8.855543324
ILMN_1651315,9.978540012,9.733064457,9.287075696,10.54764907,9.609826615,9.771304245,9.732158056,9.331532067,9.556686911,9.812737403,9.280544907,9.375555335,9.376047366,9.491239683,9.54093615,9.52620447,9.266489925,9.53816563,9.671611022,10.50226145,9.418048101
ILMN_1651346,9.421636361,9.195415904,8.68283176,9.637710722,8.911990006,8.709024285,9.027407097,8.862491098,8.788335918,8.538550041,8.747753486,8.961461916,8.972202832,8.902108512,8.998816467,9.42696574,9.235637094,8.883705484,9.173292011,9.590199972,8.896179057
ILMN_1651347,11.07170277,11.02896399,11.17821755,11.14930965,11.20303649,11.03936277,11.13361947,11.03990494,11.35299816,11.22133466,11.16336411,11.17582597,11.09199825,11.46190295,11.33822786,11.41200115,11.12925821,11.10048864,11.3014596,10.98029488,11.53858284
ILMN_1651354,11.13089617,12.02295715,11.24132837,14.31573069,11.44186521,13.09988448,11.7069518,12.21748691,10.89562071,12.69473487,11.68184163,11.99679368,11.59874387,11.32741064,11.42704253,11.45226685,11.81724198,11.4999967,12.6768594,12.96630446,10.27192619
ILMN_1651378,10.4975775,9.93578117,9.84321142,10.69781294,10.47469813,9.842021508,9.935395482,9.906038361,9.815433432,9.885755164,10.19827201,10.12884396,10.03885487,10.03742944,10.16207546,10.2411013,10.16070685,10.02295177,10.34069762,10.68802915,10.26397269
ILMN_1651385,11.1150235,11.68853439,11.09735373,11.48268918,11.08089136,11.00905088,11.14580154,11.19593583,11.0931801,11.17644346,11.2474877,11.00534645,11.00054691,11.10833102,11.17025016,11.27705144,11.49533525,11.06923534,11.57119024,11.25613878,10.94319259
