pathway_id,pathway_name,description_tmp,combined_text,UMLS_ID,UMLS_score,UMLS_mapping_method
hsa01100,Metabolic pathways,,Metabolic pathways.,C1291081,0.9732182621955872,scispacy_best_score
hsa01200,Carbon metabolism,,Carbon metabolism.,C1158831,0.9135460257530212,scispacy_best_score
hsa01210,2-Oxocarboxylic acid metabolism,,2-Oxocarboxylic acid metabolism.,C1158839,0.867946207523346,scispacy_best_score
hsa01212,Fatty acid metabolism,,Fatty acid metabolism.,C0596563,0.9788329601287842,scispacy_best_score
hsa01230,Biosynthesis of amino acids,,Biosynthesis of amino acids.,C0005572,0.9844212532043457,scispacy_best_score
hsa01232,Nucleotide metabolism,,Nucleotide metabolism.,C0597108,0.9873310923576355,scispacy_best_score
hsa01250,Biosynthesis of nucleotide sugars,,Biosynthesis of nucleotide sugars.,C0028630,0.7813910245895386,scispacy_best_score
hsa01240,Biosynthesis of cofactors,,Biosynthesis of cofactors.,C0005572,0.9844212532043457,scispacy_best_score
hsa01320,Sulfur cycle,,Sulfur cycle.,C0038774,0.7204445004463196,scispacy_best_score
hsa00010,Glycolysis / Gluconeogenesis,,Glycolysis / Gluconeogenesis.,C0017715,0.9764606952667236,scispacy_best_score
hsa00020,Citrate cycle (TCA cycle),,Citrate cycle (TCA cycle).,C0008857,0.7474468946456909,scispacy_best_score
hsa00030,Pentose phosphate pathway,,Pentose phosphate pathway.,C0030892,0.9777505397796631,scispacy_best_score
hsa00040,Pentose and glucuronate interconversions,,Pentose and glucuronate interconversions.,C0030894,0.980547308921814,scispacy_best_score
hsa00051,Fructose and mannose metabolism,,Fructose and mannose metabolism.,C1156467,0.9836267828941345,scispacy_best_score
hsa00052,Galactose metabolism,,Galactose metabolism.,C1156458,0.9894182682037354,scispacy_best_score
hsa00053,Ascorbate and aldarate metabolism,,Ascorbate and aldarate metabolism.,C1158329,0.7658804655075073,scispacy_best_score
hsa00500,Starch and sucrose metabolism,,Starch and sucrose metabolism.,C1157794,0.9715723991394043,scispacy_best_score
hsa00620,Pyruvate metabolism,,Pyruvate metabolism.,C1158861,0.9693580269813538,scispacy_best_score
hsa00630,Glyoxylate and dicarboxylate metabolism,,Glyoxylate and dicarboxylate metabolism.,C1819986,0.9845626354217529,scispacy_best_score
hsa00640,Propanoate metabolism,,Propanoate metabolism.,C3158173,0.9792933464050293,scispacy_best_score
hsa00650,Butanoate metabolism,,Butanoate metabolism.,C3158173,0.7732663154602051,scispacy_best_score
hsa00562,Inositol phosphate metabolism,,Inositol phosphate metabolism.,C1512795,0.989909291267395,scispacy_best_score
hsa00190,Oxidative phosphorylation,,Oxidative phosphorylation.,C0030013,0.9767835736274719,scispacy_best_score
hsa00910,Nitrogen metabolism,,Nitrogen metabolism.,C0597071,0.9899511337280273,scispacy_best_score
hsa00920,Sulfur metabolism,,Sulfur metabolism.,C1159409,0.9773811101913452,scispacy_best_score
hsa00061,Fatty acid biosynthesis,,Fatty acid biosynthesis.,C0596562,0.9773531556129456,scispacy_best_score
hsa00062,Fatty acid elongation,,Fatty acid elongation.,C1157326,0.965225100517273,scispacy_best_score
hsa00071,Fatty acid degradation,,Fatty acid degradation.,C1157916,0.9603169560432434,scispacy_best_score
hsa00100,Steroid biosynthesis,,Steroid biosynthesis.,C0005572,0.9844212532043457,scispacy_best_score
hsa00120,Primary bile acid biosynthesis,,Primary bile acid biosynthesis.,C0005572,0.9844212532043457,scispacy_best_score
hsa00140,Steroid hormone biosynthesis,,Steroid hormone biosynthesis.,C0301818,0.9826793670654297,scispacy_best_score
hsa00561,Glycerolipid metabolism,,Glycerolipid metabolism.,C1158379,0.9907863140106201,scispacy_best_score
hsa00564,Glycerophospholipid metabolism,,Glycerophospholipid metabolism.,C1158420,0.9920490980148315,scispacy_best_score
hsa00565,Ether lipid metabolism,,Ether lipid metabolism.,C0598783,0.987626850605011,scispacy_best_score
hsa00600,Sphingolipid metabolism,,Sphingolipid metabolism.,C1158438,0.9782512187957764,scispacy_best_score
hsa00590,Arachidonic acid metabolism,,Arachidonic acid metabolism.,C1158360,0.9886347651481628,scispacy_best_score
hsa00591,Linoleic acid metabolism,,Linoleic acid metabolism.,C1819989,0.9838860034942627,scispacy_best_score
hsa00592,alpha-Linolenic acid metabolism,,alpha-Linolenic acid metabolism.,C2984233,0.9845206141471863,scispacy_best_score
hsa01040,Biosynthesis of unsaturated fatty acids,,Biosynthesis of unsaturated fatty acids.,C0015690,0.9726119637489319,scispacy_best_score
hsa00230,Purine metabolism,,Purine metabolism.,C1621315,0.9810577034950256,scispacy_best_score
hsa00240,Pyrimidine metabolism,,Pyrimidine metabolism.,C0920641,0.9847705364227295,scispacy_best_score
hsa00250,"Alanine, aspartate and glutamate metabolism",,"Alanine, aspartate and glutamate metabolism.",C1156811,0.9887945652008057,scispacy_best_score
hsa00260,"Glycine, serine and threonine metabolism",,"Glycine, serine and threonine metabolism.",C1156802,0.980179488658905,scispacy_best_score
hsa00270,Cysteine and methionine metabolism,,Cysteine and methionine metabolism.,C1156801,0.9816354513168335,scispacy_best_score
hsa00280,"Valine, leucine and isoleucine degradation",,"Valine, leucine and isoleucine degradation.",C1156698,0.9649484753608704,scispacy_best_score
hsa00290,"Valine, leucine and isoleucine biosynthesis",,"Valine, leucine and isoleucine biosynthesis.",C1156615,0.9819443821907043,scispacy_best_score
hsa00310,Lysine degradation,,Lysine degradation.,C1156685,0.9613828659057617,scispacy_best_score
hsa00220,Arginine biosynthesis,,Arginine biosynthesis.,C0005572,0.9844212532043457,scispacy_best_score
hsa00330,Arginine and proline metabolism,,Arginine and proline metabolism.,C1156817,0.9842960238456726,scispacy_best_score
hsa00340,Histidine metabolism,,Histidine metabolism.,C1156823,0.9874728322029114,scispacy_best_score
hsa00350,Tyrosine metabolism,,Tyrosine metabolism.,C1156790,0.9841790795326233,scispacy_best_score
hsa00360,Phenylalanine metabolism,,Phenylalanine metabolism.,C1327004,0.9849160313606262,scispacy_best_score
hsa00380,Tryptophan metabolism,,Tryptophan metabolism.,C1156787,0.9869989156723022,scispacy_best_score
hsa00400,"Phenylalanine, tyrosine and tryptophan biosynthesis",,"Phenylalanine, tyrosine and tryptophan biosynthesis.",C1156585,0.9848285913467407,scispacy_best_score
hsa00410,beta-Alanine metabolism,,beta-Alanine metabolism.,C1156837,0.9823209047317505,scispacy_best_score
hsa00430,Taurine and hypotaurine metabolism,,Taurine and hypotaurine metabolism.,C0063235,0.9728618860244751,scispacy_best_score
hsa00440,Phosphonate and phosphinate metabolism,,Phosphonate and phosphinate metabolism.,C1154922,0.8518843650817871,scispacy_best_score
hsa00450,Selenocompound metabolism,,Selenocompound metabolism.,C1523345,0.8501457571983337,scispacy_best_score
hsa00470,D-Amino acid metabolism,,D-Amino acid metabolism.,C1156807,0.9723829627037048,scispacy_best_score
hsa00480,Glutathione metabolism,,Glutathione metabolism.,C1158188,0.9851496815681458,scispacy_best_score
hsa00520,Amino sugar and nucleotide sugar metabolism,,Amino sugar and nucleotide sugar metabolism.,C0597108,0.8830956816673279,scispacy_best_score
hsa00541,Biosynthesis of various nucleotide sugars,,Biosynthesis of various nucleotide sugars.,C0028630,0.7813910245895386,scispacy_best_score
hsa00510,N-Glycan biosynthesis,,N-Glycan biosynthesis.,C0596625,0.9746138453483582,scispacy_best_score
hsa00513,Various types of N-glycan biosynthesis,,Various types of N-glycan biosynthesis.,C0596625,0.9746138453483582,scispacy_best_score
hsa00512,Mucin type O-glycan biosynthesis,,Mucin type O-glycan biosynthesis.,C1157190,0.8811327815055847,scispacy_best_score
hsa00515,Mannose type O-glycan biosynthesis,,Mannose type O-glycan biosynthesis.,C1156338,0.7683676481246948,scispacy_best_score
hsa00514,Other types of O-glycan biosynthesis,,Other types of O-glycan biosynthesis.,C1157190,0.8811327815055847,scispacy_best_score
hsa00532,Glycosaminoglycan biosynthesis,,Glycosaminoglycan biosynthesis.,C1156899,0.9867416024208069,scispacy_best_score
hsa00534,Glycosaminoglycan biosynthesis,,Glycosaminoglycan biosynthesis.,C1156899,0.9867416024208069,scispacy_best_score
hsa00533,Glycosaminoglycan biosynthesis,,Glycosaminoglycan biosynthesis.,C1156899,0.9867416024208069,scispacy_best_score
hsa00531,Glycosaminoglycan degradation,,Glycosaminoglycan degradation.,C1156907,0.9769730567932129,scispacy_best_score
hsa00563,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis.,C0061688,0.8272625803947449,scispacy_best_score
hsa00601,Glycosphingolipid biosynthesis,,Glycosphingolipid biosynthesis.,C1157366,0.9842149615287781,scispacy_best_score
hsa00603,Glycosphingolipid biosynthesis,,Glycosphingolipid biosynthesis.,C1157366,0.9842149615287781,scispacy_best_score
hsa00604,Glycosphingolipid biosynthesis,,Glycosphingolipid biosynthesis.,C1157366,0.9842149615287781,scispacy_best_score
hsa00511,Other glycan degradation,,Other glycan degradation.,C1156905,0.8052236437797546,scispacy_best_score
hsa00730,Thiamine metabolism,,Thiamine metabolism.,C1159439,0.9816151857376099,scispacy_best_score
hsa00740,Riboflavin metabolism,,Riboflavin metabolism.,C1159440,0.9758793711662292,scispacy_best_score
hsa00750,Vitamin B6 metabolism,,Vitamin B6 metabolism.,C1327397,0.9620925784111023,scispacy_best_score
hsa00760,Nicotinate and nicotinamide metabolism,,Nicotinate and nicotinamide metabolism.,C1158201,0.986775279045105,scispacy_best_score
hsa00770,Pantothenate and CoA biosynthesis,,Pantothenate and CoA biosynthesis.,C1157228,0.9766348004341125,scispacy_best_score
hsa00780,Biotin metabolism,,Biotin metabolism.,C1158327,0.9810309410095215,scispacy_best_score
hsa00785,Lipoic acid metabolism,,Lipoic acid metabolism.,C1158197,0.9833472371101379,scispacy_best_score
hsa00790,Folate biosynthesis,,Folate biosynthesis.,C0005572,0.9844212532043457,scispacy_best_score
hsa00670,One carbon pool by folate,,One carbon pool by folate.,C0178638,0.9847492575645447,scispacy_best_score
hsa00830,Retinol metabolism,,Retinol metabolism.,C0025519,0.9888912439346313,scispacy_best_score
hsa00860,Porphyrin metabolism,,Porphyrin metabolism.,C0597272,0.9851444363594055,scispacy_best_score
hsa00130,Ubiquinone and other terpenoid-quinone biosynthesis,,Ubiquinone and other terpenoid-quinone biosynthesis.,C1157344,0.7974900007247925,scispacy_best_score
hsa00900,Terpenoid backbone biosynthesis,,Terpenoid backbone biosynthesis.,C0029433,0.8318349719047546,scispacy_best_score
hsa00232,Caffeine metabolism,,Caffeine metabolism.,C0025519,0.7370759844779968,scispacy_best_score
hsa00524,"Neomycin, kanamycin and gentamicin biosynthesis",,"Neomycin, kanamycin and gentamicin biosynthesis.",C0005572,0.9844212532043457,scispacy_best_score
hsa00980,Metabolism of xenobiotics by cytochrome P450,,Metabolism of xenobiotics by cytochrome P450.,C0010762,0.9759978652000427,scispacy_best_score
hsa00982,Drug metabolism,,Drug metabolism.,C0683140,0.9865143895149231,scispacy_best_score
hsa00983,Drug metabolism,,Drug metabolism.,C0683140,0.9865143895149231,scispacy_best_score
hsa03020,RNA polymerase,,RNA polymerase.,C0035681,0.9887306690216064,scispacy_best_score
hsa03022,Basal transcription factors,,Basal transcription factors.,C1135650,0.9200213551521301,scispacy_best_score
hsa03040,Spliceosome,,Spliceosome.,C0162771,0.9690306782722473,scispacy_best_score
hsa03010,Ribosome,,Ribosome.,C0035553,0.9928096532821655,scispacy_best_score
hsa00970,Aminoacyl-tRNA biosynthesis,,Aminoacyl-tRNA biosynthesis.,C0035714,0.9784031510353088,scispacy_best_score
hsa03013,Nucleocytoplasmic transport,,Nucleocytoplasmic transport.,C0872070,0.986596941947937,scispacy_best_score
hsa03015,mRNA surveillance pathway,,mRNA surveillance pathway.,C1515671,0.8030610084533691,scispacy_best_score
hsa03008,Ribosome biogenesis in eukaryotes,,Ribosome biogenesis in eukaryotes.,C1156140,0.9832841753959656,scispacy_best_score
hsa03060,Protein export,,Protein export.,C2245723,0.7723344564437866,scispacy_best_score
hsa04141,Protein processing in endoplasmic reticulum,,Protein processing in endoplasmic reticulum.,C0014239,0.9847756624221802,scispacy_best_score
hsa04130,SNARE interactions in vesicular transport,,SNARE interactions in vesicular transport.,C1325417,0.9920258522033691,scispacy_best_score
hsa04120,Ubiquitin mediated proteolysis,,Ubiquitin mediated proteolysis.,C0597304,0.967528760433197,scispacy_best_score
hsa04122,Sulfur relay system,,Sulfur relay system.,,0.0,scispacy_best_score
hsa03050,Proteasome,,Proteasome.,C0208355,0.9731605052947998,scispacy_best_score
hsa03018,RNA degradation,,RNA degradation.,C1257756,0.9606263637542725,scispacy_best_score
hsa03030,DNA replication,,DNA replication.,C0598312,0.9601574540138245,scispacy_best_score
hsa03410,Base excision repair,,Base excision repair.,C1158530,0.9757609367370605,scispacy_best_score
hsa03420,Nucleotide excision repair,,Nucleotide excision repair.,C0524550,0.9806531667709351,scispacy_best_score
hsa03430,Mismatch repair,,Mismatch repair.,C1155661,0.9847487807273865,scispacy_best_score
hsa03440,Homologous recombination,,Homologous recombination.,C0599773,0.9740785360336304,scispacy_best_score
hsa03450,Non-homologous end-joining,,Non-homologous end-joining.,C1518406,0.8842637538909912,scispacy_best_score
hsa03460,Fanconi anemia pathway,,Fanconi anemia pathway.,C0015625,0.9752676486968994,scispacy_best_score
hsa03082,ATP-dependent chromatin remodeling,,ATP-dependent chromatin remodeling.,C5672519,0.9624207019805908,scispacy_best_score
hsa03083,Polycomb repressive complex,,Polycomb repressive complex.,C0083956,0.989058792591095,scispacy_best_score
hsa03250,Viral life cycle,,Viral life cycle.,C1160638,0.973726749420166,scispacy_best_score
hsa03260,Virion,,Virion.,C0042760,0.9666566252708435,scispacy_best_score
hsa03271,Virion,,Virion.,C0042760,0.9666566252708435,scispacy_best_score
hsa03264,Virion,,Virion.,C0042760,0.9666566252708435,scispacy_best_score
hsa03265,Virion,,Virion.,C0042760,0.9666566252708435,scispacy_best_score
hsa03273,Virion,,Virion.,C0042760,0.9666566252708435,scispacy_best_score
hsa03272,Virion,,Virion.,C0042760,0.9666566252708435,scispacy_best_score
hsa03266,Virion,,Virion.,C0042760,0.9666566252708435,scispacy_best_score
hsa03267,Virion,,Virion.,C0042760,0.9666566252708435,scispacy_best_score
hsa02010,ABC transporters,,ABC transporters.,C0242738,0.9622047543525696,scispacy_best_score
hsa04010,MAPK signaling pathway,,MAPK signaling pathway.,C1518102,0.9566978216171265,scispacy_best_score
hsa04012,ErbB signaling pathway,,ErbB signaling pathway.,C0037080,0.9742857217788696,scispacy_best_score
hsa04014,Ras signaling pathway,,Ras signaling pathway.,C1514731,0.9774190187454224,scispacy_best_score
hsa04015,Rap1 signaling pathway,,Rap1 signaling pathway.,C0037083,0.8714277744293213,scispacy_best_score
hsa04310,Wnt signaling pathway,,Wnt signaling pathway.,C1520113,0.95908522605896,scispacy_best_score
hsa04330,Notch signaling pathway,,Notch signaling pathway.,C1155452,0.9690709710121155,scispacy_best_score
hsa04340,Hedgehog signaling pathway,,Hedgehog signaling pathway.,C1155468,0.9591380953788757,scispacy_best_score
hsa04350,TGF-beta signaling pathway,,TGF-beta signaling pathway.,C1155363,0.8774072527885437,scispacy_best_score
hsa04390,Hippo signaling pathway,,Hippo signaling pathway.,C3158583,0.9720909595489502,scispacy_best_score
hsa04392,Hippo signaling pathway,,Hippo signaling pathway.,C3158583,0.9720909595489502,scispacy_best_score
hsa04370,VEGF signaling pathway,,VEGF signaling pathway.,C2984329,0.9600866436958313,scispacy_best_score
hsa04371,Apelin signaling pathway,,Apelin signaling pathway.,C2262955,0.8663438558578491,scispacy_best_score
hsa04630,JAK-STAT signaling pathway,,JAK-STAT signaling pathway.,C2984327,0.9535183906555176,scispacy_best_score
hsa04064,NF-kappa B signaling pathway,,NF-kappa B signaling pathway.,C0037083,0.7794285416603088,scispacy_best_score
hsa04668,TNF signaling pathway,,TNF signaling pathway.,C0037080,0.9742857217788696,scispacy_best_score
hsa04066,HIF-1 signaling pathway,,HIF-1 signaling pathway.,C0037080,0.9742857217788696,scispacy_best_score
hsa04068,FoxO signaling pathway,,FoxO signaling pathway.,C0037083,0.8714277744293213,scispacy_best_score
hsa04020,Calcium signaling pathway,,Calcium signaling pathway.,C0037083,0.8126105666160583,scispacy_best_score
hsa04070,Phosphatidylinositol signaling system,,Phosphatidylinositol signaling system.,C1817666,0.7667797207832336,scispacy_best_score
hsa04072,Phospholipase D signaling pathway,,Phospholipase D signaling pathway.,C1623170,0.7562965750694275,scispacy_best_score
hsa04071,Sphingolipid signaling pathway,,Sphingolipid signaling pathway.,C2753772,0.9695218205451965,scispacy_best_score
hsa04024,cAMP signaling pathway,,cAMP signaling pathway.,C0037083,0.8714277148246765,scispacy_best_score
hsa04022,cGMP-PKG signaling pathway,,cGMP-PKG signaling pathway.,C0037083,0.7955009937286377,scispacy_best_score
hsa04151,PI3K-Akt signaling pathway,,PI3K-Akt signaling pathway.,C0037083,0.7955009937286377,scispacy_best_score
hsa04152,AMPK signaling pathway,,AMPK signaling pathway.,C0037080,0.9742857217788696,scispacy_best_score
hsa04150,mTOR signaling pathway,,mTOR signaling pathway.,C1621636,0.9074538946151733,scispacy_best_score
hsa04080,Neuroactive ligand-receptor interaction,,Neuroactive ligand-receptor interaction.,,0.0,scispacy_best_score
hsa04082,Neuroactive ligand signaling,,Neuroactive ligand signaling.,C0037083,0.9788906574249268,scispacy_best_score
hsa04081,Hormone signaling,,Hormone signaling.,C1154545,0.7650259137153625,scispacy_best_score
hsa04060,Cytokine-cytokine receptor interaction,,Cytokine-cytokine receptor interaction.,C0206552,0.8061118125915527,scispacy_best_score
hsa04061,Viral protein interaction with cytokine and cytokine receptor,,Viral protein interaction with cytokine and cytokine receptor.,C0206552,0.9693627953529358,scispacy_best_score
hsa04512,ECM-receptor interaction,,ECM-receptor interaction.,C0597357,0.7311392426490784,scispacy_best_score
hsa04514,Cell adhesion molecules,,Cell adhesion molecules.,C0007578,0.974778950214386,scispacy_best_score
hsa04144,Endocytosis,,Endocytosis.,C0014139,0.9895230531692505,scispacy_best_score
hsa04145,Phagosome,,Phagosome.,C0031310,0.9836006164550781,scispacy_best_score
hsa04142,Lysosome,,Lysosome.,C0024369,0.9872573018074036,scispacy_best_score
hsa04146,Peroxisome,,Peroxisome.,C0752063,0.9805019497871399,scispacy_best_score
hsa04140,Autophagy,,Autophagy.,C0004391,0.971451461315155,scispacy_best_score
