status,gene-symbol,UMLS_by_symbol,gene-name,UMLS_by_name,ensembl-id,chromosome,genetic-category,gene-score,syndromic,eagle,number-of-reports
9,ABAT,C1412057,4-aminobutyrate aminotransferase,C0002543,,16,"Rare Single Gene Mutation, Genetic Association",2.0,0,,8
9,ABCA10,C1412059,"ATP-binding cassette, sub-family A (ABC1), member 10",C1412058,,17,Rare Single Gene Mutation,2.0,0,,4
9,ABCA13,C1538894,ATP binding cassette subfamily A member 13,C0001480,,7,"Rare Single Gene Mutation, Functional",2.0,0,,15
9,ABCA2,C1412061,ATP binding cassette subfamily A member 2,C0001480,,9,Rare Single Gene Mutation,3.0,0,,8
9,ABCA7,C1412066,"ATP-binding cassette, sub-family A (ABC1), member 7",C1412058,,19,Rare Single Gene Mutation,2.0,0,,6
9,ABCE1,C1412092,ATP binding cassette subfamily E member 1,C0001480,,4,Rare Single Gene Mutation,1.0,0,1.4,4
9,ABL2,C0812381,"ABL proto-oncogene 2, non-receptor tyrosine kinase",C0387990,,1,"Rare Single Gene Mutation, Functional",3.0,0,,10
9,ACAP2,C1424304,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 2",C1516692,,3,"Rare Single Gene Mutation, Functional",2.0,0,,5
9,ACE,C1413931,angiotensin I converting enzyme,C0022709,,17,"Rare Single Gene Mutation, Genetic Association",2.0,0,,5
9,ACHE,C1412122,Acetylcholinesterase (Yt blood group),C0001044,,7,Rare Single Gene Mutation,2.0,0,,7
9,ACTB,C1384510,actin beta,C0005186,,7,"Rare Single Gene Mutation, Syndromic",1.0,1,1.0,11
9,ACTL6B,C1538908,actin like 6B,,,7,"Rare Single Gene Mutation, Syndromic, Functional",,1,,16
9,ACTN4,C1412168,actinin alpha 4,C1412168,,19,Rare Single Gene Mutation,2.0,0,,7
9,ACY1,C1412173,aminoacylase 1,C1412173,,3,"Rare Single Gene Mutation, Syndromic",,1,,13
9,ADA,C1412179,adenosine deaminase,C0001457,,20,"Rare Single Gene Mutation, Genetic Association",2.0,0,,8
9,ADCY1,C1412220,adenylate cyclase 1,C1412220,,7,Rare Single Gene Mutation,3.0,0,,4
9,ADCY3,C1412222,adenylate cyclase 3,C0964760,,2,Rare Single Gene Mutation,2.0,0,,4
9,ADCY5,C1412224,Adenylate cyclase 5,C1412224,,3,Rare Single Gene Mutation,2.0,0,,13
9,ADGRB1,C1332374,adhesion G protein-coupled receptor B1,C1332374,,8,Rare Single Gene Mutation,3.0,0,,10
9,ADGRL1,C1427215,adhesion G protein-coupled receptor L1,C1427215,,19,"Rare Single Gene Mutation, Syndromic",3.0,1,,5
9,ADK,C1412243,adenosine kinase,C0001464,,10,Rare Single Gene Mutation,2.0,0,,2
9,ADNP,C1423715,Activity-dependent neuroprotector homeobox,C1423715,,20,"Rare Single Gene Mutation, Syndromic, Functional",1.0,1,41.5,98
9,ADORA3,C1412251,Adenosine A3 receptor,C0664494,,1,"Rare Single Gene Mutation, Functional",2.0,0,,4
9,ADSL,C1412262,adenylosuccinate lyase,C0001502,,22,"Rare Single Gene Mutation, Syndromic",1.0,1,0.35,9
9,ADSS2,C1412263,adenylosuccinate synthase 2,C1412263,,1,Rare Single Gene Mutation,2.0,0,,3
9,AFF2,C1826605,"AF4/FMR2 family, member 2",C0216703,,X,"Rare Single Gene Mutation, Syndromic",1.0,0,8.7,24
9,AGAP1,C1424637,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 1",C0162527,,2,Rare Single Gene Mutation,2.0,0,,10
9,AGAP2,C1424636,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 2",C0162527,,12,Rare Single Gene Mutation,2.0,0,3.25,7
9,AGAP5,C1539153,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 5",C1518792,,10,Rare Single Gene Mutation,3.0,0,,2
9,AGBL4,C1826610,ATP/GTP binding protein-like 4,C0673026,,1,Rare Single Gene Mutation,2.0,0,,5
9,AGMO,C2240102,alkylglycerol monooxygenase,C2240102,,7,"Rare Single Gene Mutation, Genetic Association",2.0,0,,8
9,AGO1,C1414332,"argonaute 1, RISC catalytic component",C1099355,,1,Rare Single Gene Mutation,2.0,0,,19
9,AGO2,C1414333,argonaute RISC catalytic component 2,C1099355,,8,"Rare Single Gene Mutation, Syndromic",2.0,1,,4
9,AGO3,C1425508,argonaute RISC catalytic component 3,C1099355,,1,Rare Single Gene Mutation,2.0,0,,9
9,AGO4,C1425509,argonaute RISC catalytic component 4,C1099355,,1,Rare Single Gene Mutation,2.0,0,,5
