status,gene-symbol,gene-name,ensembl-id,chromosome,genetic-category,gene-score,syndromic,eagle,number-of-reports,UMLS_ID
9,ABAT,4-aminobutyrate aminotransferase,,16,"Rare Single Gene Mutation, Genetic Association",2.0,0,,8,C1412057
9,ABCA10,"ATP-binding cassette, sub-family A (ABC1), member 10",,17,Rare Single Gene Mutation,2.0,0,,4,C1412059
9,ABCA13,ATP binding cassette subfamily A member 13,,7,"Rare Single Gene Mutation, Functional",2.0,0,,15,C1538894
9,ABCA2,ATP binding cassette subfamily A member 2,,9,Rare Single Gene Mutation,3.0,0,,8,C1412061
9,ABCA7,"ATP-binding cassette, sub-family A (ABC1), member 7",,19,Rare Single Gene Mutation,2.0,0,,6,C1412066
9,ABCE1,ATP binding cassette subfamily E member 1,,4,Rare Single Gene Mutation,1.0,0,1.4,4,C1412092
9,ABL2,"ABL proto-oncogene 2, non-receptor tyrosine kinase",,1,"Rare Single Gene Mutation, Functional",3.0,0,,10,C0812381
9,ACAP2,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 2",,3,"Rare Single Gene Mutation, Functional",2.0,0,,5,C1424304
9,ACE,angiotensin I converting enzyme,,17,"Rare Single Gene Mutation, Genetic Association",2.0,0,,5,C1413931
9,ACHE,Acetylcholinesterase (Yt blood group),,7,Rare Single Gene Mutation,2.0,0,,7,C1412122
9,ACTB,actin beta,,7,"Rare Single Gene Mutation, Syndromic",1.0,1,1.0,11,C1384510
9,ACTL6B,actin like 6B,,7,"Rare Single Gene Mutation, Syndromic, Functional",,1,,16,C1538908
9,ACTN4,actinin alpha 4,,19,Rare Single Gene Mutation,2.0,0,,7,C1412168
9,ACY1,aminoacylase 1,,3,"Rare Single Gene Mutation, Syndromic",,1,,13,C1412173
9,ADA,adenosine deaminase,,20,"Rare Single Gene Mutation, Genetic Association",2.0,0,,8,C1412179
9,ADCY1,adenylate cyclase 1,,7,Rare Single Gene Mutation,3.0,0,,4,C1412220
