id,HPO_ID,name,OBO_Name,definition,OBO_Definition,UMLS_IDs,HPO_ID_norm,obo_label,obo_definition,IS_ASD_PHENOTYPE
http://purl.obolibrary.org/obo/HP_0000006,HP_0000006,Autosomal dominant inheritance,,"A mode of inheritance that is observed for traits related to a gene encoded on one of the autosomes (i.e., the human chromosomes 1-22) in which a trait manifests in heterozygotes. In the context of medical genetics, an autosomal dominant disorder is caused when a single copy of the mutant allele is present. Males and females are affected equally, and can both transmit the disorder with a risk of 50% for each child of inheriting the mutant allele.",,C0443147,HP:0000006,Autosomal dominant inheritance,"A mode of inheritance that is observed for traits related to a gene encoded on one of the autosomes (i.e., the human chromosomes 1-22) in which a trait manifests in heterozygotes. In the context of medical genetics, an autosomal dominant disorder is caused when a single copy of the mutant allele is present. Males and females are affected equally, and can both transmit the disorder with a risk of 50% for each child of inheriting the mutant allele.",True
http://purl.obolibrary.org/obo/HP_0000007,HP_0000007,Autosomal recessive inheritance,,"A mode of inheritance that is observed for traits related to a gene encoded on one of the autosomes (i.e., the human chromosomes 1-22) in which a trait manifests in individuals with two pathogenic alleles, either homozygotes (two copies of the same mutant allele) or compound heterozygotes (whereby each copy of a gene has a distinct mutant allele).",,C0441748;C4020899,HP:0000007,Autosomal recessive inheritance,"A mode of inheritance that is observed for traits related to a gene encoded on one of the autosomes (i.e., the human chromosomes 1-22) in which a trait manifests in individuals with two pathogenic alleles, either homozygotes (two copies of the same mutant allele) or compound heterozygotes (whereby each copy of a gene has a distinct mutant allele).",True
http://purl.obolibrary.org/obo/HP_0000020,HP_0000020,Urinary incontinence,,Loss of the ability to control the urinary bladder leading to involuntary urination.,,C0042024,HP:0000020,Urinary incontinence,Loss of the ability to control the urinary bladder leading to involuntary urination.,True
http://purl.obolibrary.org/obo/HP_0000023,HP_0000023,Inguinal hernia,,Protrusion of the contents of the abdominal cavity through the inguinal canal.,,C0019294,HP:0000023,Inguinal hernia,Protrusion of the contents of the abdominal cavity through the inguinal canal.,True
http://purl.obolibrary.org/obo/HP_0000028,HP_0000028,Cryptorchidism,,"Testis in inguinal canal. That is, absence of one or both testes from the scrotum owing to failure of the testis or testes to descend through the inguinal canal to the scrotum.",,C0010417,HP:0000028,Cryptorchidism,"Testis in inguinal canal. That is, absence of one or both testes from the scrotum owing to failure of the testis or testes to descend through the inguinal canal to the scrotum.",True
http://purl.obolibrary.org/obo/HP_0000034,HP_0000034,Hydrocele testis,,Accumulation of clear fluid in the between the layers of membrane (tunica vaginalis) surrounding the testis.,,C1720771,HP:0000034,Hydrocele testis,Accumulation of clear fluid in the between the layers of membrane (tunica vaginalis) surrounding the testis.,True
http://purl.obolibrary.org/obo/HP_0000046,HP_0000046,Small scrotum,,Apparently small scrotum for age.,,C0431659,HP:0000046,Small scrotum,Apparently small scrotum for age.,True
http://purl.obolibrary.org/obo/HP_0000053,HP_0000053,Macroorchidism,,The presence of abnormally large testes.,,C1263023,HP:0000053,Macroorchidism,The presence of abnormally large testes.,True
http://purl.obolibrary.org/obo/HP_0000076,HP_0000076,Vesicoureteral reflux,,Abnormal (retrograde) movement of urine from the bladder into ureters or kidneys related to inadequacy of the valvular mechanism at the ureterovesicular junction or other causes.,,C0042580,HP:0000076,Vesicoureteral reflux,Abnormal (retrograde) movement of urine from the bladder into ureters or kidneys related to inadequacy of the valvular mechanism at the ureterovesicular junction or other causes.,True
http://purl.obolibrary.org/obo/HP_0000089,HP_0000089,Renal hypoplasia,,Hypoplasia of the kidney.,,C0266295,HP:0000089,Renal hypoplasia,Hypoplasia of the kidney.,True
