id,HPO_ID,name,OBO_Name,definition,OBO_Definition,UMLS_IDs,HPO_ID_norm,obo_label,obo_definition,IS_ASD_PHENOTYPE,IS_ASD_ONTOLOGY_PHENOTYPE
http://purl.obolibrary.org/obo/HP_0000708,HP_0000708,Atypical behavior,,"Atypical behavior is an abnormality in a person's actions that can be controlled or modulated by the will of the individual. While abnormal behaviors can be difficult to control, they are distinct from other abnormal actions that cannot be affected by the individual's will.",,C0004941;C0233514,HP:0000708,Atypical behavior,"Atypical behavior is an abnormality in a person's actions that can be controlled or modulated by the will of the individual. While abnormal behaviors can be difficult to control, they are distinct from other abnormal actions that cannot be affected by the individual's will.",True,True
http://purl.obolibrary.org/obo/HP_0000717,HP_0000717,Autism,,"Autism is a neurodevelopmental disorder characterized by impaired social interaction and communication, and by restricted and repetitive behavior. Autism begins in childhood. It is marked by the presence of markedly abnormal or impaired development in social interaction and communication and a markedly restricted repertoire of activity and interest. Manifestations of the disorder vary greatly depending on the developmental level and chronological age of the individual (DSM-IV).",,C0004352,HP:0000717,Autism,"Autism is a neurodevelopmental disorder characterized by impaired social interaction and communication, and by restricted and repetitive behavior. Autism begins in childhood. It is marked by the presence of markedly abnormal or impaired development in social interaction and communication and a markedly restricted repertoire of activity and interest. Manifestations of the disorder vary greatly depending on the developmental level and chronological age of the individual (DSM-IV).",True,True
http://purl.obolibrary.org/obo/HP_0000718,HP_0000718,Aggressive behavior,,"Behavior or an act aimed at harming a person, animal, or physical property (e.g., acts of physical violence; shouting, swearing, and using harsh language; slashing someone's tires).",,C0001807;C0424323;C1457883,HP:0000718,Aggressive behavior,"Behavior or an act aimed at harming a person, animal, or physical property (e.g., acts of physical violence; shouting, swearing, and using harsh language; slashing someone's tires).",True,True
http://purl.obolibrary.org/obo/HP_0000721,HP_0000721,Lack of spontaneous play,,,,C1837650,HP:0000721,Lack of spontaneous play,,True,True
http://purl.obolibrary.org/obo/HP_0000722,HP_0000722,Compulsive behaviors,,"Behavior that consists of repetitive acts, characterized by the feeling that one ""has to"" perform them, while being aware that these acts are not in line with one's overall goal.",,C0028768;C0600104,HP:0000722,Compulsive behaviors,"Behavior that consists of repetitive acts, characterized by the feeling that one ""has to"" perform them, while being aware that these acts are not in line with one's overall goal.",True,True
http://purl.obolibrary.org/obo/HP_0000723,HP_0000723,Restrictive behavior,,Behavior characterized by an abnormal limitation to a few interests and activities.,,C2675334;C4021799,HP:0000723,Restrictive behavior,Behavior characterized by an abnormal limitation to a few interests and activities.,True,True
http://purl.obolibrary.org/obo/HP_0000728,HP_0000728,Impaired ability to form peer relationships,,"Difficulty to establish relations with others in a comparable social group (peers) that may be manifested in pehnomena such as not being able to initiative a conversation, understand social cues, or to discuss shared interests. This feature is associated with poor integration within a community or group.",,C1837649,HP:0000728,Reduced ability to form peer relationships,"Difficulty to establish relations with others in a comparable social group (peers) that may be manifested in pehnomena such as not being able to initiative a conversation, understand social cues, or to discuss shared interests. This feature is associated with poor integration within a community or group.",True,True
http://purl.obolibrary.org/obo/HP_0000729,HP_0000729,Autistic behavior,,Persistent deficits in social interaction and communication and interaction as well as a markedly restricted repertoire of activity and interest as well as repetitive patterns of behavior.,,C0856975;C1510586,HP:0000729,Autistic behavior,Persistent deficits in social interaction and communication and interaction as well as a markedly restricted repertoire of activity and interest as well as repetitive patterns of behavior.,True,True
http://purl.obolibrary.org/obo/HP_0000732,HP_0000732,Inflexible adherence to routines,,A need to strictly adhere to repetitive routines or patterns of behavior which are created by the environment. One becomes upset or distressed when their routines are disrupted or altered.,,C1837653,HP:0000732,Inflexible adherence to routines,A need to strictly adhere to repetitive routines or patterns of behavior which are created by the environment. One becomes upset or distressed when their routines are disrupted or altered.,True,True
http://purl.obolibrary.org/obo/HP_0000733,HP_0000733,Motor stereotypy,,Use of the same abnormal action in response to certain triggers or at random. They may be used as a way to regulate one's internal state but must otherwise have no apparent functional purpose.,,C0038271;C0038273,HP:0000733,Motor stereotypy,Use of the same abnormal action in response to certain triggers or at random. They may be used as a way to regulate one's internal state but must otherwise have no apparent functional purpose.,True,True
