phenotype_id,phenotype_label,source
HP:0000028,Cryptorchidism,Monarch
HP:0000093,Proteinuria,Monarch
HP:0000232,Everted lower lip vermilion,Monarch
HP:0000238,Hydrocephalus,Monarch
HP:0000294,Low anterior hairline,Monarch
HP:0000298,Mask-like facies,Monarch
HP:0000347,Micrognathia,Monarch
HP:0000407,Sensorineural hearing impairment,Monarch
HP:0000467,Neck muscle weakness,Monarch
HP:0000470,Short neck,Monarch
HP:0000501,Glaucoma,Monarch
HP:0000518,Cataract,Monarch
HP:0000545,Myopia,Monarch
HP:0000546,Retinal degeneration,Monarch
HP:0000556,Retinal dystrophy,Monarch
HP:0000568,Microphthalmia,Monarch
HP:0000589,Coloboma,Monarch
HP:0000717,Autism,Monarch
HP:0000721,Lack of spontaneous play,Monarch
HP:0000723,Restrictive behavior,Monarch
HP:0000728,Impaired ability to form peer relationships,Monarch
HP:0000732,Inflexible adherence to routines,Monarch
HP:0000733,Motor stereotypy,Monarch
HP:0000750,Delayed speech and language development,Monarch
HP:0000758,Abnormal nonverbal communicative behavior,Monarch
HP:0000762,Decreased nerve conduction velocity,Monarch
HP:0000958,Dry skin,Monarch
HP:0001249,Intellectual disability,Monarch
HP:0001250,Seizure,Monarch
HP:0001252,Hypotonia,Monarch
HP:0001263,Global developmental delay,Monarch
HP:0001265,Hyporeflexia,Monarch
HP:0001270,Motor delay,Monarch
HP:0001274,Agenesis of corpus callosum,Monarch
HP:0001279,Syncope,Monarch
HP:0001284,Areflexia,Monarch
HP:0001288,Gait disturbance,Monarch
HP:0001290,Generalized hypotonia,Monarch
HP:0001305,Dandy-Walker malformation,Monarch
HP:0001315,Reduced tendon reflexes,Monarch
HP:0001319,Neonatal hypotonia,Monarch
HP:0001320,Cerebellar vermis hypoplasia,Monarch
HP:0001321,Cerebellar hypoplasia,Monarch
HP:0001324,Muscle weakness,Monarch
HP:0001339,Lissencephaly,Monarch
HP:0001344,Absent speech,Monarch
HP:0001371,Flexion contracture,Monarch
HP:0001382,Joint hypermobility,Monarch
HP:0001558,Decreased fetal movement,Monarch
HP:0001635,Congestive heart failure,Monarch
HP:0001638,Cardiomyopathy,Monarch
HP:0001644,Dilated cardiomyopathy,Monarch
HP:0001761,Pes cavus,Monarch
HP:0001771,Achilles tendon contracture,Monarch
HP:0001962,Palpitations,Monarch
HP:0002079,Hypoplasia of the corpus callosum,Monarch
HP:0002091,Restrictive ventilatory defect,Monarch
HP:0002093,Respiratory insufficiency,Monarch
HP:0002119,Ventriculomegaly,Monarch
HP:0002121,Generalized non-motor (absence) seizure,Monarch
HP:0002126,Polymicrogyria,Monarch
HP:0002194,Delayed gross motor development,Monarch
HP:0002282,Gray matter heterotopia,Monarch
HP:0002317,Unsteady gait,Monarch
HP:0002335,Agenesis of cerebellar vermis,Monarch
HP:0002350,Cerebellar cyst,Monarch
HP:0002353,EEG abnormality,Monarch
HP:0002359,Frequent falls,Monarch
HP:0002365,Hypoplasia of the brainstem,Monarch
HP:0002421,Poor head control,Monarch
HP:0002460,Distal muscle weakness,Monarch
HP:0002500,Abnormal cerebral white matter morphology,Monarch
HP:0002505,Loss of ambulation,Monarch
HP:0002515,Waddling gait,Monarch
HP:0002518,Abnormal periventricular white matter morphology,Monarch
HP:0002540,Inability to walk,Monarch
HP:0002650,Scoliosis,Monarch
HP:0002747,Respiratory insufficiency due to muscle weakness,Monarch
HP:0002808,Kyphosis,Monarch
HP:0002870,Obstructive sleep apnea,Monarch
HP:0002875,Exertional dyspnea,Monarch
HP:0002878,Respiratory failure,Monarch
HP:0002910,Elevated circulating hepatic transaminase concentration,Monarch
HP:0002938,Lumbar hyperlordosis,Monarch
HP:0002987,Elbow flexion contracture,Monarch
HP:0003089,Hamstring contractures,Monarch
HP:0003144,Increased serum serotonin,Monarch
HP:0003155,Elevated circulating alkaline phosphatase concentration,Monarch
HP:0003194,Short nasal bridge,Monarch
HP:0003198,Myopathy,Monarch
HP:0003202,Skeletal muscle atrophy,Monarch
HP:0003236,Elevated circulating creatine kinase concentration,Monarch
HP:0003273,Hip contracture,Monarch
HP:0003306,Spinal rigidity,Monarch
HP:0003307,Hyperlordosis,Monarch
HP:0003325,Limb-girdle muscle weakness,Monarch
HP:0003326,Myalgia,Monarch
