gene-symbol,gene-name,genetic-category,gene-score,number-of-reports,UMLS_IDs,uniprot_id,protein_gene_name,protein_name,organism,protein_function,protein_UMLS_IDs,pathway_id,pathway_name,match_basis,matched_umls
ABAT,4-aminobutyrate aminotransferase,"Rare Single Gene Mutation, Genetic Association",2.0,8,"C1412057,C0002543",P80404,ABAT GABAT,"4-aminobutyrate aminotransferase, mitochondrial (EC 2.6.1.19) ((S)-3-amino-2-methylpropionate transaminase) (EC 2.6.1.22) (GABA aminotransferase) (GABA-AT) (Gamma-amino-N-butyrate transaminase) (GABA transaminase) (GABA-T) (L-AIBAT)",Homo sapiens (Human),"FUNCTION: Catalyzes the conversion of gamma-aminobutyrate and L-beta-aminoisobutyrate to succinate semialdehyde and methylmalonate semialdehyde, respectively (PubMed:10407778, PubMed:15528998). Can also convert delta-aminovalerate and beta-alanine (By similarity). {ECO:0000250|UniProtKB:P50554, ECO:0000269|PubMed:10407778, ECO:0000269|PubMed:15528998}.",C1412057,,,,
ABCA10,"ATP-binding cassette, sub-family A (ABC1), member 10",Rare Single Gene Mutation,2.0,4,"C1412059,C1412058",Q8WWZ4,ABCA10,ATP-binding cassette sub-family A member 10 (EC 7.6.2.-),Homo sapiens (Human),FUNCTION: Probable transporter which may play a role in macrophage lipid transport and homeostasis. {ECO:0000305|PubMed:12821155}.,C1412059,,,,
ABCA13,ATP binding cassette subfamily A member 13,"Rare Single Gene Mutation, Functional",2.0,15,"C1538894,C0001480",Q86UQ4,ABCA13,ATP-binding cassette sub-family A member 13 (EC 7.6.2.-),Homo sapiens (Human),"FUNCTION: May mediate the cholesterol and gangliosides transport from the plasma membrane to intracellular vesicles in an ATP hydrolysis dependent manner, thus playing a role in their internalization by endocytic retrograde transport and may also participate in the endocytosis of synaptic vesicle in cortical neurons. {ECO:0000269|PubMed:33478937}.",C1538894,hsa04144,Endocytosis,NAME,
ABCA2,ATP binding cassette subfamily A member 2,Rare Single Gene Mutation,3.0,8,"C1412061,C0001480",Q9BZC7,ABCA2 ABC2 KIAA1062,ATP-binding cassette sub-family A member 2 (EC 7.6.2.-) (ATP-binding cassette transporter 2) (ATP-binding cassette 2),Homo sapiens (Human),"FUNCTION: Probable lipid transporter that modulates cholesterol sequestration in the late endosome/lysosome by regulating the intracellular sphingolipid metabolism, in turn participates in cholesterol homeostasis (Probable) (PubMed:15238223, PubMed:21810484, PubMed:24201375). May alter the transbilayer distribution of ceramide in the intraluminal membrane lipid bilayer, favoring its retention in the outer leaflet that results in increased acid ceramidase activity in the late endosome/lysosome, facilitating ceramide deacylation to sphingosine leading to the sequestration of free cholesterol in lysosomes (PubMed:24201375). In addition regulates amyloid-beta production either by activating a signaling pathway that regulates amyloid precursor protein transcription through the modulation of sphingolipid metabolism or through its role in gamma-secretase processing of APP (PubMed:22086926, PubMed:26510981). May play a role in myelin formation (By similarity). {ECO:0000250|UniProtKB:P41234, ECO:0000269|PubMed:15238223, ECO:0000269|PubMed:21810484, ECO:0000269|PubMed:22086926, ECO:0000269|PubMed:24201375, ECO:0000269|PubMed:26510981, ECO:0000305|PubMed:15999530}.",C2982463,hsa00600,Sphingolipid metabolism,NAME,
ABCA2,ATP binding cassette subfamily A member 2,Rare Single Gene Mutation,3.0,8,"C1412061,C0001480",Q9BZC7,ABCA2 ABC2 KIAA1062,ATP-binding cassette sub-family A member 2 (EC 7.6.2.-) (ATP-binding cassette transporter 2) (ATP-binding cassette 2),Homo sapiens (Human),"FUNCTION: Probable lipid transporter that modulates cholesterol sequestration in the late endosome/lysosome by regulating the intracellular sphingolipid metabolism, in turn participates in cholesterol homeostasis (Probable) (PubMed:15238223, PubMed:21810484, PubMed:24201375). May alter the transbilayer distribution of ceramide in the intraluminal membrane lipid bilayer, favoring its retention in the outer leaflet that results in increased acid ceramidase activity in the late endosome/lysosome, facilitating ceramide deacylation to sphingosine leading to the sequestration of free cholesterol in lysosomes (PubMed:24201375). In addition regulates amyloid-beta production either by activating a signaling pathway that regulates amyloid precursor protein transcription through the modulation of sphingolipid metabolism or through its role in gamma-secretase processing of APP (PubMed:22086926, PubMed:26510981). May play a role in myelin formation (By similarity). {ECO:0000250|UniProtKB:P41234, ECO:0000269|PubMed:15238223, ECO:0000269|PubMed:21810484, ECO:0000269|PubMed:22086926, ECO:0000269|PubMed:24201375, ECO:0000269|PubMed:26510981, ECO:0000305|PubMed:15999530}.",C2982463,hsa04142,Lysosome,NAME,
ABCA7,"ATP-binding cassette, sub-family A (ABC1), member 7",Rare Single Gene Mutation,2.0,6,"C1412066,C1412058",Q8IZY2,ABCA7,Phospholipid-transporting ATPase ABCA7 (EC 7.6.2.1) (ABCA-SSN) (ATP-binding cassette sub-family A member 7) (Autoantigen SS-N) (Macrophage ABC transporter),Homo sapiens (Human),"FUNCTION: Catalyzes the translocation of specific phospholipids from the cytoplasmic to the extracellular/lumenal leaflet of membrane coupled to the hydrolysis of ATP (PubMed:24097981). Transports preferentially phosphatidylserine over phosphatidylcholine (PubMed:24097981). Plays a role in lipid homeostasis and macrophage-mediated phagocytosis (PubMed:12917409, PubMed:12925201, PubMed:14570867, PubMed:14592415). Binds APOA1 and may function in apolipoprotein-mediated phospholipid efflux from cells (PubMed:12917409, PubMed:14570867, PubMed:14592415). May also mediate cholesterol efflux (PubMed:14570867). May regulate cellular ceramide homeostasis during keratinocyte differentiation (PubMed:12925201). Involved in lipid raft organization and CD1D localization on thymocytes and antigen-presenting cells, which plays an important role in natural killer T-cell development and activation (By similarity). Plays a role in phagocytosis of apoptotic cells by macrophages (By similarity). Macrophage phagocytosis is stimulated by APOA1 or APOA2, probably by stabilization of ABCA7 (By similarity). Also involved in phagocytic clearance of amyloid-beta by microglia cells and macrophages (By similarity). Further limits amyloid-beta production by playing a role in the regulation of amyloid-beta A4 precursor protein (APP) endocytosis and/or processing (PubMed:26260791). Amyloid-beta is the main component of amyloid plaques found in the brains of Alzheimer patients (PubMed:26260791). {ECO:0000250|UniProtKB:Q91V24, ECO:0000269|PubMed:12917409, ECO:0000269|PubMed:12925201, ECO:0000269|PubMed:14570867, ECO:0000269|PubMed:14592415, ECO:0000269|PubMed:24097981, ECO:0000269|PubMed:26260791}.",C5202950,hsa04144,Endocytosis,NAME,
ABCE1,ATP binding cassette subfamily E member 1,Rare Single Gene Mutation,1.0,4,"C1412092,C0001480",P61221,ABCE1 RLI RNASEL1 RNASELI RNS4I OK/SW-cl.40,ATP-binding cassette sub-family E member 1 (EC 3.6.5.-) (2'-5'-oligoadenylate-binding protein) (HuHP68) (RNase L inhibitor) (Ribonuclease 4 inhibitor) (RNS4I),Homo sapiens (Human),"FUNCTION: Nucleoside-triphosphatase (NTPase) involved in ribosome recycling by mediating ribosome disassembly (PubMed:20122402, PubMed:21448132). Able to hydrolyze ATP, GTP, UTP and CTP (PubMed:20122402). Splits ribosomes into free 60S subunits and tRNA- and mRNA-bound 40S subunits (PubMed:20122402, PubMed:21448132). Acts either after canonical termination facilitated by release factors (ETF1/eRF1) or after recognition of stalled and vacant ribosomes by mRNA surveillance factors (PELO/Pelota) (PubMed:20122402, PubMed:21448132). Involved in the No-Go Decay (NGD) pathway: recruited to stalled ribosomes by the Pelota-HBS1L complex, and drives the disassembly of stalled ribosomes, followed by degradation of damaged mRNAs as part of the NGD pathway (PubMed:21448132). Also plays a role in quality control of translation of mitochondrial outer membrane-localized mRNA (PubMed:29861391). As part of the PINK1-regulated signaling, ubiquitinated by CNOT4 upon mitochondria damage; this modification generates polyubiquitin signals that recruit autophagy receptors to the mitochondrial outer membrane and initiate mitophagy (PubMed:29861391). RNASEL-specific protein inhibitor which antagonizes the binding of 2-5A (5'-phosphorylated 2',5'-linked oligoadenylates) to RNASEL (PubMed:9660177). Negative regulator of the anti-viral effect of the interferon-regulated 2-5A/RNASEL pathway (PubMed:11585831, PubMed:9660177, PubMed:9847332). {ECO:0000269|PubMed:11585831, ECO:0000269|PubMed:20122402, ECO:0000269|PubMed:21448132, ECO:0000269|PubMed:29861391, ECO:0000269|PubMed:9660177, ECO:0000269|PubMed:9847332}.; FUNCTION: (Microbial infection) May act as a chaperone for post-translational events during HIV-1 capsid assembly. {ECO:0000269|PubMed:9847332}.; FUNCTION: (Microbial infection) Plays a role in the down-regulation of the 2-5A/RNASEL pathway during encephalomyocarditis virus (EMCV) and HIV-1 infections. {ECO:0000269|PubMed:9660177}.",C1412092,hsa03010,Ribosome,NAME,
ABCE1,ATP binding cassette subfamily E member 1,Rare Single Gene Mutation,1.0,4,"C1412092,C0001480",P61221,ABCE1 RLI RNASEL1 RNASELI RNS4I OK/SW-cl.40,ATP-binding cassette sub-family E member 1 (EC 3.6.5.-) (2'-5'-oligoadenylate-binding protein) (HuHP68) (RNase L inhibitor) (Ribonuclease 4 inhibitor) (RNS4I),Homo sapiens (Human),"FUNCTION: Nucleoside-triphosphatase (NTPase) involved in ribosome recycling by mediating ribosome disassembly (PubMed:20122402, PubMed:21448132). Able to hydrolyze ATP, GTP, UTP and CTP (PubMed:20122402). Splits ribosomes into free 60S subunits and tRNA- and mRNA-bound 40S subunits (PubMed:20122402, PubMed:21448132). Acts either after canonical termination facilitated by release factors (ETF1/eRF1) or after recognition of stalled and vacant ribosomes by mRNA surveillance factors (PELO/Pelota) (PubMed:20122402, PubMed:21448132). Involved in the No-Go Decay (NGD) pathway: recruited to stalled ribosomes by the Pelota-HBS1L complex, and drives the disassembly of stalled ribosomes, followed by degradation of damaged mRNAs as part of the NGD pathway (PubMed:21448132). Also plays a role in quality control of translation of mitochondrial outer membrane-localized mRNA (PubMed:29861391). As part of the PINK1-regulated signaling, ubiquitinated by CNOT4 upon mitochondria damage; this modification generates polyubiquitin signals that recruit autophagy receptors to the mitochondrial outer membrane and initiate mitophagy (PubMed:29861391). RNASEL-specific protein inhibitor which antagonizes the binding of 2-5A (5'-phosphorylated 2',5'-linked oligoadenylates) to RNASEL (PubMed:9660177). Negative regulator of the anti-viral effect of the interferon-regulated 2-5A/RNASEL pathway (PubMed:11585831, PubMed:9660177, PubMed:9847332). {ECO:0000269|PubMed:11585831, ECO:0000269|PubMed:20122402, ECO:0000269|PubMed:21448132, ECO:0000269|PubMed:29861391, ECO:0000269|PubMed:9660177, ECO:0000269|PubMed:9847332}.; FUNCTION: (Microbial infection) May act as a chaperone for post-translational events during HIV-1 capsid assembly. {ECO:0000269|PubMed:9847332}.; FUNCTION: (Microbial infection) Plays a role in the down-regulation of the 2-5A/RNASEL pathway during encephalomyocarditis virus (EMCV) and HIV-1 infections. {ECO:0000269|PubMed:9660177}.",C1412092,hsa04140,Autophagy,NAME,
ABCE1,ATP binding cassette subfamily E member 1,Rare Single Gene Mutation,1.0,4,"C1412092,C0001480",P61221,ABCE1 RLI RNASEL1 RNASELI RNS4I OK/SW-cl.40,ATP-binding cassette sub-family E member 1 (EC 3.6.5.-) (2'-5'-oligoadenylate-binding protein) (HuHP68) (RNase L inhibitor) (Ribonuclease 4 inhibitor) (RNS4I),Homo sapiens (Human),"FUNCTION: Nucleoside-triphosphatase (NTPase) involved in ribosome recycling by mediating ribosome disassembly (PubMed:20122402, PubMed:21448132). Able to hydrolyze ATP, GTP, UTP and CTP (PubMed:20122402). Splits ribosomes into free 60S subunits and tRNA- and mRNA-bound 40S subunits (PubMed:20122402, PubMed:21448132). Acts either after canonical termination facilitated by release factors (ETF1/eRF1) or after recognition of stalled and vacant ribosomes by mRNA surveillance factors (PELO/Pelota) (PubMed:20122402, PubMed:21448132). Involved in the No-Go Decay (NGD) pathway: recruited to stalled ribosomes by the Pelota-HBS1L complex, and drives the disassembly of stalled ribosomes, followed by degradation of damaged mRNAs as part of the NGD pathway (PubMed:21448132). Also plays a role in quality control of translation of mitochondrial outer membrane-localized mRNA (PubMed:29861391). As part of the PINK1-regulated signaling, ubiquitinated by CNOT4 upon mitochondria damage; this modification generates polyubiquitin signals that recruit autophagy receptors to the mitochondrial outer membrane and initiate mitophagy (PubMed:29861391). RNASEL-specific protein inhibitor which antagonizes the binding of 2-5A (5'-phosphorylated 2',5'-linked oligoadenylates) to RNASEL (PubMed:9660177). Negative regulator of the anti-viral effect of the interferon-regulated 2-5A/RNASEL pathway (PubMed:11585831, PubMed:9660177, PubMed:9847332). {ECO:0000269|PubMed:11585831, ECO:0000269|PubMed:20122402, ECO:0000269|PubMed:21448132, ECO:0000269|PubMed:29861391, ECO:0000269|PubMed:9660177, ECO:0000269|PubMed:9847332}.; FUNCTION: (Microbial infection) May act as a chaperone for post-translational events during HIV-1 capsid assembly. {ECO:0000269|PubMed:9847332}.; FUNCTION: (Microbial infection) Plays a role in the down-regulation of the 2-5A/RNASEL pathway during encephalomyocarditis virus (EMCV) and HIV-1 infections. {ECO:0000269|PubMed:9660177}.",C1412092,hsa04136,Autophagy,NAME,
ABCE1,ATP binding cassette subfamily E member 1,Rare Single Gene Mutation,1.0,4,"C1412092,C0001480",P61221,ABCE1 RLI RNASEL1 RNASELI RNS4I OK/SW-cl.40,ATP-binding cassette sub-family E member 1 (EC 3.6.5.-) (2'-5'-oligoadenylate-binding protein) (HuHP68) (RNase L inhibitor) (Ribonuclease 4 inhibitor) (RNS4I),Homo sapiens (Human),"FUNCTION: Nucleoside-triphosphatase (NTPase) involved in ribosome recycling by mediating ribosome disassembly (PubMed:20122402, PubMed:21448132). Able to hydrolyze ATP, GTP, UTP and CTP (PubMed:20122402). Splits ribosomes into free 60S subunits and tRNA- and mRNA-bound 40S subunits (PubMed:20122402, PubMed:21448132). Acts either after canonical termination facilitated by release factors (ETF1/eRF1) or after recognition of stalled and vacant ribosomes by mRNA surveillance factors (PELO/Pelota) (PubMed:20122402, PubMed:21448132). Involved in the No-Go Decay (NGD) pathway: recruited to stalled ribosomes by the Pelota-HBS1L complex, and drives the disassembly of stalled ribosomes, followed by degradation of damaged mRNAs as part of the NGD pathway (PubMed:21448132). Also plays a role in quality control of translation of mitochondrial outer membrane-localized mRNA (PubMed:29861391). As part of the PINK1-regulated signaling, ubiquitinated by CNOT4 upon mitochondria damage; this modification generates polyubiquitin signals that recruit autophagy receptors to the mitochondrial outer membrane and initiate mitophagy (PubMed:29861391). RNASEL-specific protein inhibitor which antagonizes the binding of 2-5A (5'-phosphorylated 2',5'-linked oligoadenylates) to RNASEL (PubMed:9660177). Negative regulator of the anti-viral effect of the interferon-regulated 2-5A/RNASEL pathway (PubMed:11585831, PubMed:9660177, PubMed:9847332). {ECO:0000269|PubMed:11585831, ECO:0000269|PubMed:20122402, ECO:0000269|PubMed:21448132, ECO:0000269|PubMed:29861391, ECO:0000269|PubMed:9660177, ECO:0000269|PubMed:9847332}.; FUNCTION: (Microbial infection) May act as a chaperone for post-translational events during HIV-1 capsid assembly. {ECO:0000269|PubMed:9847332}.; FUNCTION: (Microbial infection) Plays a role in the down-regulation of the 2-5A/RNASEL pathway during encephalomyocarditis virus (EMCV) and HIV-1 infections. {ECO:0000269|PubMed:9660177}.",C1412092,hsa04137,Mitophagy,NAME,
